_id,lon,lat,zip
64c088d6f9a9ebc9a7466635,-66.061,18.41,940
64c088d6f9a9ebc9a7466636,-66.2,18.432,949
64c088d6f9a9ebc9a7466637,-66.197,18.458,950
64c088d6f9a9ebc9a7466638,-66.197,18.458,951
64c088d6f9a9ebc9a7466639,-66.197,18.458,952
64c088d6f9a9ebc9a746663a,-66.257,18.357,953
64c088d6f9a9ebc9a746663b,-66.258,18.359,954
64c088d6f9a9ebc9a746663c,-66.061,18.41,955
64c088d6f9a9ebc9a746663d,-66.174,18.327,956
64c088d6f9a9ebc9a746663e,-66.184,18.367,957
64c088d6f9a9ebc9a746663f,-66.166,18.345,958
64c088d6f9a9ebc9a7466640,-66.159,18.387,959
64c088d6f9a9ebc9a7466641,-66.166,18.345,960
64c088d6f9a9ebc9a7466642,-66.169,18.413,961
64c088d6f9a9ebc9a7466643,-66.14,18.438,962
64c088d6f9a9ebc9a7466644,-66.139,18.443,963
64c088d6f9a9ebc9a7466645,-66.115,18.429,965
64c088d6f9a9ebc9a7466646,-66.115,18.397,966
64c088d6f9a9ebc9a7466647,-66.061,18.41,968
64c088d6f9a9ebc9a7466648,-66.114,18.362,969
64c088d6f9a9ebc9a7466649,-66.112,18.359,970
64c088d6f9a9ebc9a746664a,-66.114,18.309,971
64c088d6f9a9ebc9a746664b,-66.061,18.41,975
64c088d6f9a9ebc9a746664c,-65.989,18.338,976
64c088d6f9a9ebc9a746664d,-65.99,18.337,977
64c088d6f9a9ebc9a746664e,-65.99,18.337,978
64c088d6f9a9ebc9a746664f,-66.061,18.41,979
64c088d6f9a9ebc9a7466650,-66.061,18.41,981
64c088d6f9a9ebc9a7466651,-66.061,18.41,982
64c088d6f9a9ebc9a7466652,-65.978,18.413,983
64c088d6f9a9ebc9a7466653,-65.972,18.393,984
64c088d6f9a9ebc9a7466654,-65.939,18.346,985
64c088d6f9a9ebc9a7466655,-65.972,18.393,986
64c088d6f9a9ebc9a7466656,-65.96,18.373,987
64c088d6f9a9ebc9a7466657,-65.972,18.393,988
64c088d6f9a9ebc9a7466658,-72.789,42.141,1001
64c088d6f9a9ebc9a7466659,-72.465,42.367,1002
64c088d6f9a9ebc9a746665a,-72.636,42.37,1003
64c088d6f9a9ebc9a746665b,-72.513,42.384,1004
64c088d6f9a9ebc9a746665c,-72.139,42.329,1005
64c088d6f9a9ebc9a746665d,-72.402,42.28,1007
64c088d6f9a9ebc9a746665e,-72.958,42.178,1008
64c088d6f9a9ebc9a746665f,-72.34,42.206,1009
64c088d6f9a9ebc9a7466660,-72.204,42.109,1010
64c088d6f9a9ebc9a7466661,-72.953,42.294,1011
64c088d6f9a9ebc9a7466662,-72.826,42.392,1012
64c088d6f9a9ebc9a7466663,-72.667,42.161,1013
64c088d6f9a9ebc9a7466664,-72.605,42.171,1014
64c088d6f9a9ebc9a7466665,-72.563,42.177,1020
64c088d6f9a9ebc9a7466666,-72.605,42.171,1021
64c088d6f9a9ebc9a7466667,-72.554,42.193,1022
64c088d6f9a9ebc9a7466668,-72.91,42.429,1026
64c088d6f9a9ebc9a7466669,-72.769,42.368,1027
64c088d6f9a9ebc9a746666a,-72.499,42.062,1028
64c088d6f9a9ebc9a746666b,-73.052,42.191,1029
64c088d6f9a9ebc9a746666c,-72.798,42.189,1030
64c088d6f9a9ebc9a746666d,-72.206,42.353,1031
64c088d6f9a9ebc9a746666e,-72.819,42.444,1032
64c088d6f9a9ebc9a746666f,-72.504,42.262,1033
64c088d6f9a9ebc9a7466670,-72.952,42.113,1034
64c088d6f9a9ebc9a7466671,-72.577,42.357,1035
64c088d6f9a9ebc9a7466672,-72.418,42.068,1036
64c088d6f9a9ebc9a7466673,-72.225,42.348,1037
64c088d6f9a9ebc9a7466674,-72.643,42.387,1038
64c088d6f9a9ebc9a7466675,-72.682,42.356,1039
64c088d6f9a9ebc9a7466676,-72.642,42.198,1040
64c088d6f9a9ebc9a7466677,-72.605,42.171,1041
64c088d6f9a9ebc9a7466678,-72.904,42.313,1050
64c088d6f9a9ebc9a7466679,-72.704,42.354,1053
64c088d6f9a9ebc9a746667a,-72.468,42.475,1054
64c088d6f9a9ebc9a746667b,-72.627,42.173,1056
64c088d6f9a9ebc9a746667c,-72.282,42.095,1057
64c088d6f9a9ebc9a746667d,-72.636,42.37,1059
64c088d6f9a9ebc9a746667e,-72.769,42.415,1060
64c088d6f9a9ebc9a746667f,-72.636,42.37,1061
64c088d6f9a9ebc9a7466680,-72.845,42.329,1062
64c088d6f9a9ebc9a7466681,-72.64,42.318,1063
64c088d6f9a9ebc9a7466682,-72.634,42.407,1066
64c088d6f9a9ebc9a7466683,-72.059,42.346,1068
64c088d6f9a9ebc9a7466684,-72.315,42.176,1069
64c088d6f9a9ebc9a7466685,-72.958,42.449,1070
64c088d6f9a9ebc9a7466686,-72.865,42.177,1071
64c088d6f9a9ebc9a7466687,-72.44,42.472,1072
64c088d6f9a9ebc9a7466688,-72.728,42.23,1073
64c088d6f9a9ebc9a7466689,-72.149,42.376,1074
64c088d6f9a9ebc9a746668a,-72.582,42.25,1075
64c088d6f9a9ebc9a746668b,-72.541,42.067,1077
64c088d6f9a9ebc9a746668c,-72.33,42.193,1079
64c088d6f9a9ebc9a746668d,-72.518,42.18,1080
64c088d6f9a9ebc9a746668e,-72.214,42.062,1081
64c088d6f9a9ebc9a746668f,-72.549,42.377,1082
64c088d6f9a9ebc9a7466690,-72.199,42.204,1083
64c088d6f9a9ebc9a7466691,-72.871,42.39,1084
64c088d6f9a9ebc9a7466692,-72.502,42.149,1085
64c088d6f9a9ebc9a7466693,-72.848,42.173,1086
64c088d6f9a9ebc9a7466694,-72.647,42.391,1088
64c088d6f9a9ebc9a7466695,-72.645,42.126,1089
64c088d6f9a9ebc9a7466696,-72.605,42.171,1090
64c088d6f9a9ebc9a7466697,-72.229,42.203,1092
64c088d6f9a9ebc9a7466698,-72.653,42.443,1093
64c088d6f9a9ebc9a7466699,-72.141,42.358,1094
64c088d6f9a9ebc9a746669a,-72.49,42.126,1095
64c088d6f9a9ebc9a746669b,-72.822,42.413,1096
64c088d6f9a9ebc9a746669c,-72.846,42.162,1097
64c088d6f9a9ebc9a746669d,-72.896,42.405,1098
64c088d6f9a9ebc9a746669e,-72.605,42.171,1101
64c088d6f9a9ebc9a746669f,-72.605,42.171,1102
64c088d6f9a9ebc9a74666a0,-72.591,42.103,1103
64c088d6f9a9ebc9a74666a1,-72.568,42.129,1104
